Wilaya,Commune,Zone_Sismique,Policy_Count,Total_Capital,Avg_Vulnerability,Risk_Weighted_Capital,Concentration_Pct
42 - TIPAZA,1397 - CHAIBA,IIb,4,"37635000,0","0,4","15054000,0","0,013"
35 - BOUMERDES,472 - TIMEZRIT,I,8,"37602250,0","0,20500000000000002","7652450,0","0,013"
6 - BEJAIA,287 - SIDI AICH,IIb,9,"37364800,0","0,4444444444444444","17025920,0","0,012"
16 - ALGER,117 - CASBAH,IIa,10,"37079980,0","0,32399999999999995","11693994,0","0,012"
17 - DJELFA,534 - DJELFA,IIb,3,"36928000,0","0,4266666666666667","15091200,0","0,012"
18 - JIJEL,701 - KAOUS,IIa,10,"36288910,0","0,3","10886673,0","0,012"
5 - BATNA,228 - TKOUT,IIa,34,"35898000,0","0,3","10769400,0","0,012"
5 - BATNA,202 - MENAA BATNA,IIa,24,"35898000,0","0,3","10769400,0","0,012"
26 - MEDEA,852 - OUZERA,IIb,12,"35829440,0","0,4533333333333333","16421216,0","0,012"
21 - SKIKDA,1275 - SALAH BOUCHAOUR,IIa,23,"35576480,0","0,30521739130434783","10792944,0","0,012"
21 - SKIKDA,1262 - EMDJEZ EDCHICH,IIa,31,"35529480,0","0,3","10658844,0","0,012"
6 - BEJAIA,269 - BOUKHELIFA,IIb,8,"35253310,0","0,41000000000000003","14181324,0","0,012"
19 - SETIF,1176 - OULED SABOR,IIb,10,"35235400,0","0,4","14094160,0","0,012"
31 - ORAN,1005 - BOUSFER,IIa,9,"34937940,0","0,30666666666666664","10541382,0","0,012"
26 - MEDEA,860 - SIDI NAAMANE MEDEA,IIb,13,"34763030,0","0,4676923076923077","16203612,0","0,012"
34 - B.B ARRERIDJ,382 - KHELIL,IIa,17,"34204000,0","0,3035294117647059","10381200,0","0,011"
19 - SETIF,1128 - AIN ABESSA,IIb,7,"33627000,0","0,4","13450800,0","0,011"
15 - TIZI OUZOU,1475 - IDJEUR,IIa,14,"33567100,0","0,3","10070130,0","0,011"
21 - SKIKDA,1259 - EL HADAIEK,IIa,6,"33406100,0","0,32","10237830,0","0,011"
42 - TIPAZA,1395 - BOUHAROUN,IIb,14,"32717500,0","0,44571428571428573","15167000,0","0,011"
5 - BATNA,222 - TAZOULT,IIa,6,"31684170,0","0,3","9505251,0","0,011"
28 - M SILA,974 - SIDI HADJERES,0,7,"31300000,0","0,2928571428571428","9180000,0","0,01"
5 - BATNA,206 - OUED CHAABA,IIa,11,"30370060,0","0,3","9111018,0","0,01"
16 - ALGER,1417 - TIPAZA,IIa,8,"30326370,0","0,3225","9277911,0","0,01"
42 - TIPAZA,1406 - KHEMISTI TIPAZA,IIb,10,"29918640,0","0,41600000000000004","12447456,0","0,01"
26 - MEDEA,843 - OUAMRI,IIb,6,"29542000,0","0,4666666666666666","13976800,0","0,01"
36 - EL TAREF,612 - BEN MHIDI,0,7,"29388000,0","0,2857142857142857","8247000,0","0,01"
19 - SETIF,1170 - MAAOUIA,IIb,10,"28675500,0","0,4","11470200,0","0,01"
9 - BLIDA,359 - OULED SLAMA,III,6,"28566250,0","0,5333333333333333","15713125,0","0,01"
27 - MOSTAGANEM,905 - AIN NOUISSI,I,14,"28510200,0","0,2057142857142857","5942040,0","0,01"
9 - BLIDA,343 - BOUARFA,III,10,"28359790,0","0,5","14179895,0","0,009"
35 - BOUMERDES,469 - TAOURGA,I,24,"28150050,0","0,2733333333333334","7630010,000000001","0,009"
6 - BEJAIA,472 - TIMEZRIT,IIb,16,"28045000,0","0,455","12194000,0","0,009"
29 - MASCARA,801 - SIG,I,5,"27988300,0","0,2","5597660,0","0,009"
19 - SETIF,1183 - TACHOUDA,IIb,8,"27721000,0","0,41000000000000003","11168400,0","0,009"
